Genome,,,Bv-BRC Strains,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Pseudomonas,aeruginosa,strain,CH2608,,,PATRIC.287.12783.287.12783.con.0004.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2639,,,PATRIC.287.12785.287.12785.con.0003.CDS.449171.450196.rev,PATRIC,CDS,449171,450196,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2657,,,PATRIC.287.12784.287.12784.con.0003.CDS.449171.450196.rev,PATRIC,CDS,449171,450196,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2658,,,PATRIC.287.12787.287.12787.con.0001.CDS.38773.39798.fwd,PATRIC,CDS,38773,39798,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2660,,,PATRIC.287.12790.287.12790.con.0004.CDS.45249.46133.fwd,PATRIC,CDS,45249,46133,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2665,,,PATRIC.287.12791.287.12791.con.0005.CDS.40155.41180.fwd,PATRIC,CDS,40155,41180,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2672,,,PATRIC.287.12794.287.12794.con.0002.CDS.645155.646180.rev,PATRIC,CDS,645155,646180,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2674,,,PATRIC.287.12795.287.12795.con.0002.CDS.457109.458134.rev,PATRIC,CDS,457109,458134,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2677,,,PATRIC.287.12792.287.12792.con.0114.CDS.5050.6075.fwd,PATRIC,CDS,5050,6075,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2678,,,PATRIC.287.12793.287.12793.con.0001.CDS.793884.794768.rev,PATRIC,CDS,793884,794768,885,-,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2680,,,PATRIC.287.12788.287.12788.con.0004.CDS.43232.44257.fwd,PATRIC,CDS,43232,44257,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2685,,,PATRIC.287.12797.287.12797.con.0002.CDS.5113.6138.fwd,PATRIC,CDS,5113,6138,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2687,,,PATRIC.287.12800.287.12800.con.0002.CDS.700679.701704.rev,PATRIC,CDS,700679,701704,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2690,,,PATRIC.287.12799.287.12799.con.0001.CDS.846347.847372.rev,PATRIC,CDS,846347,847372,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2706,,,PATRIC.287.12803.287.12803.con.0004.CDS.506982.508001.rev,PATRIC,CDS,506982,508001,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2707,,,PATRIC.287.12805.287.12805.con.0006.CDS.415605.416624.rev,PATRIC,CDS,415605,416624,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2713,,,PATRIC.287.12804.287.12804.con.0001.CDS.805640.806656.rev,PATRIC,CDS,805640,806656,1017,-,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2718,,,PATRIC.287.12802.287.12802.con.0046.CDS.14196.15215.rev,PATRIC,CDS,14196,15215,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2724,,,PATRIC.287.12806.287.12806.con.0004.CDS.438608.439492.rev,PATRIC,CDS,438608,439492,885,-,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2730,,,PATRIC.287.12808.287.12808.con.0004.CDS.38771.39796.fwd,PATRIC,CDS,38771,39796,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2734,,,PATRIC.287.12807.287.12807.con.0129.CDS.3.629.fwd,PATRIC,CDS,3,629,627,+,,PLF_286_00001745,PGF_00780840,,209,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2735,,,PATRIC.287.12809.287.12809.con.0003.CDS.38848.39873.fwd,PATRIC,CDS,38848,39873,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2748,,,PATRIC.287.12811.287.12811.con.0006.CDS.285327.286352.rev,PATRIC,CDS,285327,286352,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2756,,,PATRIC.287.12810.287.12810.con.0004.CDS.438207.439247.rev,PATRIC,CDS,438207,439247,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2829,,,PATRIC.287.12815.287.12815.con.0001.CDS.179687.180703.fwd,PATRIC,CDS,179687,180703,1017,+,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2860,,,PATRIC.287.12817.287.12817.con.0003.CDS.45249.46133.fwd,PATRIC,CDS,45249,46133,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2875,,,PATRIC.287.12814.287.12814.con.0006.CDS.40442.41482.fwd,PATRIC,CDS,40442,41482,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2922,,,PATRIC.287.12813.287.12813.con.0028.CDS.5657.6673.fwd,PATRIC,CDS,5657,6673,1017,+,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH2939,,,PATRIC.287.12821.287.12821.con.0002.CDS.45168.46052.fwd,PATRIC,CDS,45168,46052,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH3173,,,PATRIC.287.12822.287.12822.con.0003.CDS.449171.450196.rev,PATRIC,CDS,449171,450196,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH3290,,,PATRIC.287.12823.287.12823.con.0001.CDS.567893.568918.rev,PATRIC,CDS,567893,568918,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH3462,,,PATRIC.287.12829.287.12829.con.0001.CDS.95337.96353.fwd,PATRIC,CDS,95337,96353,1017,+,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH3484,,,PATRIC.287.12830.287.12830.con.0006.CDS.11501.12526.fwd,PATRIC,CDS,11501,12526,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH3549,,,PATRIC.287.12826.287.12826.con.0003.CDS.40243.41262.fwd,PATRIC,CDS,40243,41262,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH3613,,,PATRIC.287.12824.287.12824.con.0002.CDS.22463.23482.fwd,PATRIC,CDS,22463,23482,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH3648,,,PATRIC.287.12831.287.12831.con.0003.CDS.449171.450196.rev,PATRIC,CDS,449171,450196,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH3797,,,PATRIC.287.12833.287.12833.con.0004.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH3882,,,PATRIC.287.12835.287.12835.con.0001.CDS.961439.962458.rev,PATRIC,CDS,961439,962458,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH3906,,,PATRIC.287.12839.287.12839.con.0002.CDS.3915.4940.fwd,PATRIC,CDS,3915,4940,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4083,,,PATRIC.287.12832.287.12832.con.0002.CDS.43149.44174.fwd,PATRIC,CDS,43149,44174,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4411,,,PATRIC.287.12441.287.12441.con.0001.CDS.43148.44173.fwd,PATRIC,CDS,43148,44173,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4418,,,PATRIC.287.12443.287.12443.con.0003.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4433,,,PATRIC.287.12442.287.12442.con.0004.CDS.38784.39803.fwd,PATRIC,CDS,38784,39803,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4438,,,PATRIC.287.12444.287.12444.con.0002.CDS.40353.41393.fwd,PATRIC,CDS,40353,41393,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4443,,,PATRIC.287.12440.287.12440.con.0003.CDS.515154.516194.rev,PATRIC,CDS,515154,516194,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4446,,,PATRIC.287.12446.287.12446.con.0001.CDS.806454.807494.rev,PATRIC,CDS,806454,807494,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4489,,,PATRIC.287.12445.287.12445.con.0001.CDS.42113.43129.fwd,PATRIC,CDS,42113,43129,1017,+,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4509,,,PATRIC.287.12453.287.12453.con.0002.CDS.40353.41393.fwd,PATRIC,CDS,40353,41393,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4520,,,PATRIC.287.12455.287.12455.con.0003.CDS.40245.41264.fwd,PATRIC,CDS,40245,41264,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4528,,,PATRIC.287.12451.287.12451.con.0003.CDS.431282.432307.rev,PATRIC,CDS,431282,432307,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4548,,,PATRIC.287.12452.287.12452.con.0003.CDS.449170.450195.rev,PATRIC,CDS,449170,450195,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4549,,,PATRIC.287.12449.287.12449.con.0002.CDS.43148.44173.fwd,PATRIC,CDS,43148,44173,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4560,,,PATRIC.287.12450.287.12450.con.0002.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4584,,,PATRIC.287.12448.287.12448.con.0002.CDS.721203.722228.rev,PATRIC,CDS,721203,722228,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4591,,,PATRIC.287.12454.287.12454.con.0001.CDS.46467.47486.fwd,PATRIC,CDS,46467,47486,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
